split,TurbID,node_index,horizon,Score,MAE,RMSE,valid_target_count,reference_val_score_h10,reference_val_rank_desc,hard_turbine_threshold_val_score_h10,is_top10pct_hard_turbine,hard_group_rule
val,27,26,3,0.25075203545572244,247.60187712727816,349.1402487273744,3234,0.2565100412648428,19,0.2609385788627858,False,top_14_by_validation_H10_Score
val,27,26,6,0.2539173257221971,249.48110734140667,352.07026439041897,6468,0.2565100412648428,19,0.2609385788627858,False,top_14_by_validation_H10_Score
val,27,26,10,0.2565100412648428,251.70081930914677,355.4536346139725,10781,0.2565100412648428,19,0.2609385788627858,False,top_14_by_validation_H10_Score
val,28,27,3,0.24242496232462132,240.10628919098693,338.21004567657405,3239,0.24835577034951703,30,0.2609385788627858,False,top_14_by_validation_H10_Score
val,28,27,6,0.24578464134573783,242.0347136892223,341.0821486809687,6475,0.24835577034951703,30,0.2609385788627858,False,top_14_by_validation_H10_Score
val,28,27,10,0.24835577034951703,244.4611759159193,344.6520701351733,10779,0.24835577034951703,30,0.2609385788627858,False,top_14_by_validation_H10_Score
val,29,28,3,0.24134455173939517,239.00334170996632,336.6340703137263,3324,0.24754972362089203,32,0.2609385788627858,False,top_14_by_validation_H10_Score
val,29,28,6,0.2441199293346304,240.793785699009,339.4772802452054,6645,0.24754972362089203,32,0.2609385788627858,False,top_14_by_validation_H10_Score
val,29,28,10,0.24754972362089203,242.9179711111718,342.8465130809581,11059,0.24754972362089203,32,0.2609385788627858,False,top_14_by_validation_H10_Score
val,30,29,3,0.20919663906491442,206.5492081862438,305.4388448942562,3252,0.21200899801707251,105,0.2609385788627858,False,top_14_by_validation_H10_Score
val,30,29,6,0.21127196417994362,208.13575755817956,308.12321693820326,6501,0.21200899801707251,105,0.2609385788627858,False,top_14_by_validation_H10_Score
val,30,29,10,0.21200899801707251,210.04067938257649,311.7496616767598,10822,0.21200899801707251,105,0.2609385788627858,False,top_14_by_validation_H10_Score
val,31,30,3,0.25882506462539884,256.34316731602803,352.2522173757744,3235,0.2610146030307595,13,0.2609385788627858,True,top_14_by_validation_H10_Score
val,31,30,6,0.26099889953767924,258.2242592723007,355.15632769977344,6467,0.2610146030307595,13,0.2609385788627858,True,top_14_by_validation_H10_Score
val,31,30,10,0.2610146030307595,260.4628115874936,358.7441335565414,10768,0.2610146030307595,13,0.2609385788627858,True,top_14_by_validation_H10_Score
val,32,31,3,0.24667092298380056,244.94935962892615,343.17425962744414,3191,0.2522605422553472,24,0.2609385788627858,False,top_14_by_validation_H10_Score
val,32,31,6,0.24933635165443166,246.82458116852305,346.0724767924541,6379,0.2522605422553472,24,0.2609385788627858,False,top_14_by_validation_H10_Score
val,32,31,10,0.2522605422553472,248.91823569893126,349.60065108385515,10622,0.2522605422553472,24,0.2609385788627858,False,top_14_by_validation_H10_Score
val,33,32,3,0.24278631886680974,241.63709761503137,338.0045143730079,3111,0.24573302816496753,33,0.2609385788627858,False,top_14_by_validation_H10_Score
val,33,32,6,0.24462312586730073,243.47032553453522,340.87983782228247,6219,0.24573302816496753,33,0.2609385788627858,False,top_14_by_validation_H10_Score
val,33,32,10,0.24573302816496753,245.55956237365092,344.3006312834164,10354,0.24573302816496753,33,0.2609385788627858,False,top_14_by_validation_H10_Score
val,34,33,3,0.21994123465961574,217.02321562903273,324.35636111655725,3122,0.22478950903478606,71,0.2609385788627858,False,top_14_by_validation_H10_Score
