variant_id,horizon_i,horizon_j,distance
N7,10,6,6.3681840896606445
N7,10,7,5.781435489654541
N7,10,8,6.111591339111328
N7,10,9,6.347620964050293
N7,10,10,0.0
N8,1,1,0.0
N8,1,2,6.478875637054443
N8,1,3,6.903197765350342
N8,1,4,6.755992889404297
N8,1,5,6.686697483062744
N8,1,6,7.3316240310668945
N8,1,7,7.153057098388672
N8,1,8,6.7099175453186035
N8,1,9,7.128307819366455
N8,1,10,7.519742965698242
N8,2,1,6.478875637054443
N8,2,2,0.0
N8,2,3,6.200901985168457
N8,2,4,7.0005340576171875
N8,2,5,6.240293502807617
N8,2,6,7.295141696929932
N8,2,7,6.274606704711914
N8,2,8,6.938981056213379
N8,2,9,7.252932071685791
N8,2,10,6.903636932373047
N8,3,1,6.903197765350342
N8,3,2,6.200901985168457
N8,3,3,0.0
N8,3,4,7.010249614715576
N8,3,5,6.995718002319336
N8,3,6,7.56307315826416
N8,3,7,6.121383190155029
N8,3,8,7.047093868255615
N8,3,9,6.789694786071777
N8,3,10,6.613642692565918
N8,4,1,6.755992889404297
N8,4,2,7.0005340576171875
N8,4,3,7.010249614715576
N8,4,4,0.0
N8,4,5,6.4259724617004395
N8,4,6,5.647543907165527
N8,4,7,7.2828779220581055
N8,4,8,6.0135345458984375
N8,4,9,6.096804618835449
N8,4,10,6.927327632904053
N8,5,1,6.686697483062744
N8,5,2,6.240293502807617
N8,5,3,6.995718002319336
N8,5,4,6.4259724617004395
N8,5,5,0.0
N8,5,6,5.85679817199707
N8,5,7,6.240532398223877
N8,5,8,6.522340297698975
N8,5,9,6.1862568855285645
N8,5,10,5.806355953216553
N8,6,1,7.3316240310668945
N8,6,2,7.295141696929932
N8,6,3,7.56307315826416
N8,6,4,5.647543907165527
N8,6,5,5.85679817199707
N8,6,6,0.0
N8,6,7,6.550350189208984
N8,6,8,6.848690032958984
N8,6,9,6.419648170471191
N8,6,10,6.578165531158447
N8,7,1,7.153057098388672
N8,7,2,6.274606704711914
N8,7,3,6.121383190155029
N8,7,4,7.2828779220581055
N8,7,5,6.240532398223877
N8,7,6,6.550350189208984
N8,7,7,0.0
N8,7,8,6.588636875152588
N8,7,9,7.139307022094727
N8,7,10,5.9714860916137695
N8,8,1,6.7099175453186035
N8,8,2,6.938981056213379
N8,8,3,7.047093868255615
N8,8,4,6.0135345458984375
N8,8,5,6.522340297698975
N8,8,6,6.848690032958984
N8,8,7,6.588636875152588
N8,8,8,0.0
N8,8,9,5.773922443389893
N8,8,10,6.349406719207764
N8,9,1,7.128307819366455
N8,9,2,7.252932071685791
N8,9,3,6.789694786071777
N8,9,4,6.096804618835449
N8,9,5,6.1862568855285645
N8,9,6,6.419648170471191
N8,9,7,7.139307022094727
N8,9,8,5.773922443389893
N8,9,9,0.0
N8,9,10,6.496032238006592
N8,10,1,7.519742965698242
N8,10,2,6.903636932373047
N8,10,3,6.613642692565918
N8,10,4,6.927327632904053
N8,10,5,5.806355953216553
N8,10,6,6.578165531158447
N8,10,7,5.9714860916137695
N8,10,8,6.349406719207764
N8,10,9,6.496032238006592
N8,10,10,0.0
